Text,Target
गुठी विधेक ल्याएर ठमेल राज गुठि जग्गा छाया सेन्टर जस्ता जोगाउन ल्याउदैछ विधेक ।,0
दले देश सकेछन बेचे खान सुरू गरेछन दले लखेटनु पछ ।,1
नेपाल ससकृती ध्वस्त पार्ने योजना !,1
मठ मन्दिर गुम्बा जग्गा हरु भुमाफिया नजर परे हुना विधेक !,1
नेपाल कल कर्खाना नदि नाला बेची सके मठ मन्दीर बेची खाने नियत ।,1
भणडारि लई कालोमोसो लगाएर भगउनु तर्क चै नदीने खालि ।,1
"देश जमिन राज्य काे , , जनता रदेश घात हुदैन , नेपाल , जमिन झाेले , झन्डे घात गरे अाफ्ने बनाउ छन ।",2
सरकार बिदेशि डिजाइन सनातन सम्राट राजा लाइ हटाए सास्कृतिक मास्न सजिलो भनेर तिब्र रुप अगाडि गणतन्त्र बड्दै ।,0
याे भन्डारि दलाल लाइ ल्याएकाे ।,2
बिस्नु पौडेल हनुमान ।,1
मुन मुत खाको चोर हरु गूठी सकेनन् ।,2
अन्तरबार्ता हेर्दा गुठी नाम लुटि खान पल्के सरकार नियमन हरहिसाब पारदर्शी खोज्दा खेरी निन्द्रा हराम गरे लागो ।,1
मुन बिर्यपान धर्म बेचे गुठि बिधेक ल्याएर भ मठ मन्दिर अनि देशै बेचेर खान्छन् मुन सन्तान हरु ।,1
खान नपाए भिकारी परेछ्न बा की नराख्ने ?,1
"गुठी ब्यबस्थापन सम्बन्धी जनता लाइ थाहा होस , काग कान लग्यो भन्दियो , दगुर्ने ।",1
गुठी बिधयक सहि बुझ्न नसके ।,0
बन्जाडे मुला अलिक ठुलो नेता हरुलाइ लेउनु हौ ।,2
योगि नरहरिनाथ उहिल्यै घोषणा गरे रहेछ्न----- कलियुग अन्त राक्षस हरु ब्राह्मण कुल जन्म लिएर आउनेछ्न ।,1
हरु राजा फाल्नेछ्न धर्म त्याग्नेछ्न अनि आफै शासनसत्ता हात लिनेछ्न ।,1
आज राक्षस बाहुन हरु प्रचन्डे बोकोहराम उखाने जस्ता राज योगि नरहरिनाथ भबिस्यबाणी ठ्याक् कै मिले ।,1
सोम मान्छे भू माफिया लाग्यो ... गुठि खान मान्छे ... गुठि जग्गा पूर्ण सरकार हुनु ... ।,1
धर्म संस्कृत जोगाउन नेवार नभइ बाहुन छेत्री तामाङ छेत्र मान्छे सडक आउनुपर्छ ।,0
"धर्म सस्कृति सकेर देश ईसाईकरण ने क पा सरकारि जग्गा बचाउन नसकिएकाे अबश्था , ।",1
छायाँ सेन्टर जस्ता जाेगाउने प्रपञ्च हाे याे कति ठुलाे बिटाे मिल्याे सचिव ज्यू ?,1
गुठी बिदयक बिष्णु पौडेल हात पद् अर्याल भु माफिया हनुमान गद्दार आइमाई कालोमोसो दलेर जुत्ता माला लायर देश निकाला ।,1
"जनता नाम नेता खान , किसानकाे नाम गुठी हामी खान नहुने वा रे वा , , ।",1
बिरोध हरु नहोलान मुख्यपात्र हरु अहिले त्यही गुठी चल अचल सम्पती माथी रजाइ हरुनै रजाइ नपाइने भो भनेर सडक आयर रोय हामी बुझ्नु ।,1
परिबर्तन बिरोधी हरु परिबर्तन स्युकार्न गार्हो भा सब नाटक ।,1
जस आखिर नेपाल धर्म सस्कृती परम्परा मौलिक मास्ने अहिले सरकार नस्तिक होलि वाइन खाने हरु ।,1
हिन्दुत्व समाप्त पार्ने खेल भान आमनागरिक गुठी काण्ड ।,1
"बाकिनै यहि , गुठी , अरुत खतम भै सके , नदिनाला , कलकारखाना , धर्म , सस्कृती , गै सक्यो , बा की आस लाग्दो नेपाली सेना , गुठी , ।",1
बाहुन च्याउ खाए पो स्वाद गुठि नभए बाहुन लाइ गुठि कर्म मर्म थाहा अनपढ बाहुन phd लाइ निल्दिन्छ ।,1
देउता बेच्न लागे बाहुन क्षेत्री ।,1
दुइ जना बाहुन हरु भु माफिया एजेन्ट हरु ।,1
नेपाल बाहुन सब लखेटनु प्ररने दिन अायो हिन्दु होस वा बाैद / किराँत मासेर किश्नन बनाउने यिनै हुनु देश सब स्रम्पदा मासने बाहुन खोल्ड अोडने ले. ... ।,1
भ्रष्टाचार बिरोधि अभियन्ता ज्ञानेन्द्र शाहि माथी राज्य द्वारा बर्बर दमन लोकतन्त्र कम्मर मुनि भुत्ला देखायो ।,1
नेपाल बिरोधि अपराधी हरु पालेको मिडिया चुइक्क बोलेनन् ।,1
कान्तिपुर यस्तै अपराधी दलाल हरु पालेको एउटा मिडिया ।,2
उपस्थित विद्वान हरु कस कस गुठी ?,0
कुनाई जाती समुदाय मास्नु खतम गर्नुछ उस धर्म सँन्स्कार खतम नीति गुठि बिध्यायक नीति ।,1
सब भु माफिया चाल नेपाल सरकार तिनै भु माफिया गोटि बन्दैछ ।,1
विधेक फिर्ता हुनैपर्छ चर्को आन्दोलन ?,1
दलाल नेता सरकार आफै मोहि बनी हदपिने दाउ ।,2
याहाँ लाटो देश बाठो तन्देरी भनेजस्तो भो ।,1
बामे छाउरा हरु देस सक्क्ने भय ।,1
काठ्माडो न्यावार जाति लाइ हरुलाइ लगार्ने नियात ।,1
भ्रष्ट चोर दलाली हरु मठ मन्दिर गुठी ब्याक्तीगत नाम गरिए सरकार ठोस कदम चालोस ।,2
अहिले धर्म बेचे छन चोर हरु सत्ता आयपछी 30 / 35 हजार प्रत्येक नेपालि टाउको रिण बोकाय पन्चायत ठिक रहेछ ।,2
विधेक चोर भ्रस्टचारी बाहुन छेत्री हरु नेवारी किरात आदिबासी संसृति मास्ने पेल्ने मनसाय ।,2
"देश बेच्न उग्र रुप लागे दलाल देश , डुबाय ।",2
"nimesh ji , why call people like som prasad . he is not specific in his words and doesnt refer to any fact while talking !",1
सोझा नेवार नियमन राजनीतिक पहुच मान्छे अघि लैए गुठी बिदयक ।,0
हाम्रा मठ मन्दिर गुम्बा धर्म सस्कृति धाेस्त पारेर ईनि हाेलिविन हाेचिविन काे मुत खाने हरु ख्रिस्चियन चर्च बनाउन खाेजेकाे नपालि जनता मिलेर देस निकाला ।,1
सनातन धर्म मास्ने योजना आ विधेक ।,1
"तहतब् चोरै चोर , ।",1
"समस्या गुठि होइन , समस्या सिद्धांन्त खोल ओडे भू-माफिया , तस्कर हरू गुठी जग्गा हडपने अनि बैद्यता दिने ।",1
समस्या समाधान भ्रष्ट राज्य सत्ता सदा अन्त्य हौ ।,1
मन्द विष घोलेर खुबाइदैछ विधेयक ल्याएर जनता सजक नहुने टाउके लाउके चुस्ने स्रोत खोज्दैछन् ।,1
अधिकारी पशु की मान्छे बालुवाटार जग्गा बेची खायौं अझ गुठी हरु छोड्छौ हरु दलाल थुक्क नलायक पशु ।,2
पुस्ता कति होर पुस्ता भदी भयो भनेर गूठी खाने खेल ।,1
नेपाल अस्तित्व मेटाउन गुठी कानुन रामबाण यस्पछी नेपाल तहस नहस पार्न पर्दैन चेतना भय ।,1
"अस्ती मुनकाे वृयपान नेपालीकाे हीत भन्दै अरिङ्गाल हरू अहिले गुठीपनि त्यही भन्दैछन , कृश्यन भतुवा हरू ।",1
गूठी हस्तक्षेप गरिरहे छन ।,1
ता भोलि दिन देश सन्कृती बेचबिखन देश द्रोह गरने धृस्टता नगरोस ।,1
यिनि हरु प्रती चरम घृणा ।,1
"गुठि गर्दा अमेरिका , बेलायत नबन्दा उपत्यका सम्पन्न भएकाे हाे ।",0
गुठि संचालन जानेन ।,1
"राज्य आफैं अन्तरास्ट्रिय क्रिश्चियन एजेन्ट बनेर होलिवाइन सम्मेलन कोरिएन क्रिश्चियन बिश्वबिद्धालय क्रिश्चियन धर्म फैलाउन सहयोग गरेबापत भनेर दिय पदवी थाप्छ , सयौं क्रिश्चियन धर्मपरिवर्तन लगानी संस्था दर्ता दिन्छ , यहि सरकार नेपाल परंरागत धर्म , संस्कृति रितिरिवाज जोगाउँछ भन्नू एउ टा बेकुफी मात्रै सम्पुर्ण सनातन धर्मावलम्बी सडक आउनुपर्छ ।",1
ताई तुइ बहस ।,1
बालुवाटार काे जग्गा हडपेकाे गुठि त्यसै छाेड्छन बाहुन हरु याे एउ टा सडयन्त्र हाे ।,1
उठ नेवार दाजुभाइ दिदीबहिनी सस्कृती बचाउन उठ दलाल सरकार काठमाडौं नेवार समुदाय सस्कृती मेट्ने कुचेस्टा गरिस ।,2
गुथी बिधेयक ल्यायेर देस बेच्ने भो बाहुन हरु हे भगवान बचाउ देश ।,1
सत्ता धल्छ नेता मन्त्री साइद लागे काम मुला हरु ।,2
dr surendra kc lai bolaunu pardaina mc चम्चा हरु ।,1
"मा. पद्मा अर्याल प्रश्न , बिष्णु पौडेल सम्धी नाठो ?",1
"नेपाल सबैभन्दा शक्तिशाली संस्था प्रधानमन्त्री , उहाँ कै खल्ली nepal engineering college सम्बधित भ्रष्टाचार प्रमाण छानविन लामो लाग्दो रहेछ ।",1
कति लाजमर्दो सरकारि जग्गा कति मन्त्रिलाइ थाहै रे खालि बसेर तलब भत्ता खान्छौ लाज मान ।,1
मन्त्री ठुलाे नेता बिस्नु पौडेल भुमाफिया दलाल बिचरा मन्त्री पद होईन राजनीतिक जिवन समाप्त होला अनि कार्वाहि ।,1
निमेष बन्जाडे ज्यु प्रस्न प्रस्तुति अति गहन ।,0
"5 वर्ष सरकार टिक्ने , सरकारी रा गुठी जग्गा सरकार बस्ने हरु , , , 2 / ३ नेकापा सरकार भूमाफिया ।",1
युवराज कोइराला जस्ता देशभक्त मान्छे नेपाल अनि हामी नेपाली पाए ।,0
"hats off , सल्युट यु सर ।",0
कार्यक्रम हेरे देश २ जना सच्चा देशभक्त हरु रहेछन् थाहा भयो ।,0
